epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.931,1.38143,2.16886,1.24744,0.62549,0.22718,0.35089,0.20072,1.45108,2.38246,1.20887,0.000657778,0.000657778,0.000657778
2,300.983,1.41831,1.66599,1.25512,0.4559,0.40739,0.38386,0.22499,1.56503,1.9916,1.37406,0.00119332,0.00119332,0.00119332
3,463.151,1.41928,1.53481,1.29362,0.49663,0.431,0.46048,0.2557,1.55891,2.20006,1.38893,0.00159687,0.00159687,0.00159687
4,606.634,1.38099,1.41472,1.25705,0.50376,0.4634,0.48477,0.2609,1.51718,2.12782,1.41916,0.001406,0.001406,0.001406
5,749.519,1.28639,1.2564,1.20881,0.62727,0.51805,0.56126,0.33938,1.38784,1.50826,1.24765,0.001208,0.001208,0.001208
6,906.517,1.18841,1.13254,1.14684,0.66015,0.65605,0.71493,0.47754,1.14136,1.19927,1.11574,0.00101,0.00101,0.00101
7,1052.16,1.12601,1.03018,1.11322,0.76039,0.70913,0.80729,0.53136,1.12502,1.07782,1.10491,0.000812,0.000812,0.000812
8,1198.19,1.04521,0.93966,1.08022,0.79913,0.70064,0.81506,0.58655,1.02886,1.00734,1.06282,0.000614,0.000614,0.000614
9,1358.92,1.00419,0.85823,1.05938,0.82146,0.7155,0.82796,0.59436,0.9589,0.92401,1.03724,0.000416,0.000416,0.000416
10,1505.68,0.93052,0.79473,1.02731,0.85301,0.81741,0.88682,0.6737,0.86245,0.85572,1.00385,0.000218,0.000218,0.000218
