epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10329,0.65056,2.84988,1.20549,0.0091,0.98446,0.80086,0.53091,0.9782,3.04228,1.42472,0.00051677,0.00051677,0.00051677
2,8.66925,0.76908,1.88969,1.30819,0.54665,0.2487,0.35466,0.17953,1.49708,2.99078,2.4879,0.000946239,0.000946239,0.000946239
3,12.2331,0.84831,1.77703,1.36555,0.34681,0.46114,0.33145,0.17305,1.35911,2.7428,2.15323,0.00127009,0.00127009,0.00127009
4,15.8162,0.78884,1.57686,1.32169,0.53086,0.53886,0.47384,0.24807,1.58335,2.6076,2.64709,0.0011719,0.0011719,0.0011719
5,19.2954,0.72839,1.367,1.24635,0.70124,0.69948,0.74803,0.47442,1.12594,1.92874,1.69244,0.00100687,0.00100687,0.00100687
6,22.7679,0.67373,1.19323,1.18437,0.80849,0.77202,0.84902,0.65277,0.87743,1.46725,1.41652,0.000841835,0.000841835,0.000841835
7,26.2073,0.62871,1.05182,1.16662,0.82546,0.75965,0.85996,0.68725,0.79336,1.23246,1.32146,0.000676802,0.000676802,0.000676802
8,29.6848,0.57889,0.95093,1.13551,0.89366,0.83938,0.91873,0.74784,0.6876,0.98009,1.17262,0.000511769,0.000511769,0.000511769
9,33.1777,0.53031,0.86577,1.10014,0.93658,0.80829,0.90863,0.73342,0.73732,0.95224,1.2238,0.000346736,0.000346736,0.000346736
10,36.6103,0.52724,0.81315,1.06058,0.91643,0.84974,0.93539,0.78573,0.60929,0.86411,1.11746,0.000181703,0.000181703,0.000181703
